f1score,u1,Alg,data
4.20272063595118e-16,1.21893153892905e-91,static > random,sim data 1
2.27429214764849e-152,3.56862490717404e-166,alg0 > random,sim data 1
1.19096506339783e-127,5.82473715802908e-120,alg0 > static,sim data 1
6.73764836848275e-154,4.17940949274597e-165,alg1 > random,sim data 1
8.8082748577845e-130,2.04177997953722e-119,alg1 > static,sim data 1
0.143907859617341,0.215269422607097,alg1 > alg0,sim data 1
0.999403363605964,4.7763775891466e-54,static > random,sim data 2
1.91011173301082e-34,1.19559298611125e-102,alg0 > random,sim data 2
2.28089676887751e-68,3.62730234148519e-28,alg0 > static,sim data 2
3.94590716422903e-123,1.02385329787611e-148,alg1 > random,sim data 2
1.85788107254006e-133,1.55359790282189e-117,alg1 > static,sim data 2
3.59584322466854e-62,1.22810668551292e-73,alg1 > alg0,sim data 2
0.000344961667664969,0.999999999441925,static > random,real data
7.62262621153054e-29,0.0240036775478506,alg0 > random,real data
1.39210462507507e-30,2.07562018853723e-21,alg0 > static,real data
4.12874390872031e-46,4.52513389323427e-16,alg1 > random,real data
5.62728463336604e-42,3.27678903096575e-46,alg1 > static,real data
1.15145156339998e-09,1.87631203516968e-13,alg1 > alg0,real data
